family,cohort,program_name,selection_bucket,strategy_id,control_class,implementation_state,runtime_mode,expected_behavior
stack_memory_braid,heldout,bytecode_stack_memory_braid_100_a144,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid,heldout,bytecode_subroutine_braid_80_a112,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid,heldout,bytecode_subroutine_braid_80_a112,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid,heldout,bytecode_subroutine_braid_80_a112,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
subroutine_braid,heldout,bytecode_subroutine_braid_80_a112,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid,heldout,bytecode_subroutine_braid_80_a112,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid_long,heldout,bytecode_subroutine_braid_long_140_a208,heldout_family_focus,linear_exact,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid_long,heldout,bytecode_subroutine_braid_long_140_a208,heldout_family_focus,accelerated,exact_baseline,imported_r19_baseline,imported_r19_baseline,must_stay_exact
subroutine_braid_long,heldout,bytecode_subroutine_braid_long_140_a208,heldout_family_focus,pointer_like_exact,target_mechanism,implemented,measured_r20,must_stay_exact
subroutine_braid_long,heldout,bytecode_subroutine_braid_long_140_a208,heldout_family_focus,pointer_like_shuffled,negative_control,implemented,measured_r20,should_break_speed_or_exactness
subroutine_braid_long,heldout,bytecode_subroutine_braid_long_140_a208,heldout_family_focus,address_oblivious_control,negative_control,implemented,measured_r20,should_break_speed_or_exactness
